,category,content
0,ethique,Qu’est ce qu’un réseau LSTM ?
1,ethique,L’intelligence artificielle au service du recrutement
2,ethique,Tutoriel Apache Kafka : classification de tweets en direct
3,ethique,Quels liens entre blockchain et intelligence artificielle ?
4,ethique,"Introduction à GPT 3, l’un des modèles de NLP les plus avancés"
5,ethique,Comment le fisc français utilise l’intelligence artificielle pour détecter les piscines illégales
6,ethique,L’intelligence artificielle pour la fécondation in-vitro
7,ethique,Les 5 plus gros fails de l’intelligence artificielle
8,ethique,Mes dernières lectures en data science
9,ethique,Le machine learning pour les systèmes de recommandations
10,nlp,Qu’est ce qu’un réseau LSTM ?
11,nlp,Latent Dirichlet Allocation : Topic Modeling en Python
12,nlp,Meta AI présente NLLB : No Language Left Behind
13,nlp,Introduction à Selenium : Web Scraping avec Python
14,nlp,DALL-E : génération d’images à partir de textes
15,nlp,Tutoriel Apache Kafka : classification de tweets en direct
16,nlp,"Introduction à GPT 3, l’un des modèles de NLP les plus avancés"
17,nlp,Qu’est-ce que le NLP (Natural Language Processing) ?
18,nlp,NLP avec Python : analyse de sentiments sur Twitter
19,nlp,Introduction au NLP avec Python : les IA prennent la parole
20,evenements,Vivatech 2022 : France is (un peu) AI
21,evenements,Mes lectures de l’été
22,evenements,Travailler en tant que freelance data scientist en étant étudiant
23,evenements,Mes dernières lectures en data science
24,evenements,Compte rendu de l’AI et Big Data Paris Corp
25,evenements,Déconfinement : le rôle de l’intelligence artificielle dans le maintien de la distanciation sociale
26,evenements,3 livres de Machine Learning pour un confinement réussi
27,evenements,Compte rendu de l’AI Summit à San Francisco
28,evenements,Compte rendu de la digitale tech conférence
29,evenements,Compte rendu de la Tech Expo 2019 dans la Silicon Valley
30,ml-dl,Qu’est ce qu’un réseau LSTM ?
31,ml-dl,Latent Dirichlet Allocation : Topic Modeling en Python
32,ml-dl,Meta AI présente NLLB : No Language Left Behind
33,ml-dl,DeOldify : coloriser vos anciennes photos avec Python
34,ml-dl,Tutoriel Apache Kafka : classification de tweets en direct
35,ml-dl,Quels liens entre blockchain et intelligence artificielle ?
36,ml-dl,"Introduction à GPT 3, l’un des modèles de NLP les plus avancés"
37,ml-dl,Top 5 des projets open source d’intelligence artificielle
38,ml-dl,Comment le fisc français utilise l’intelligence artificielle pour détecter les piscines illégales
39,ml-dl,L’intelligence artificielle pour la fécondation in-vitro
40,data-science,15 astuces pour Google Colab
41,data-science,Introduction à BeautifulSoup : Web Scraping avec Python
42,data-science,Introduction à Selenium : Web Scraping avec Python
43,data-science,Tutoriel Apache Kafka : classification de tweets en direct
44,data-science,Top 5 des projets open source d’intelligence artificielle
45,data-science,Mes lectures de l’été
46,data-science,3 méthodes pour optimiser les hyperparamètres de vos modèles de machine learning
47,data-science,Travailler en tant que freelance data scientist en étant étudiant
48,data-science,4 méthodes pour gérer les données manquantes en machine learning avec Pandas
49,data-science,Comment gérer le déséquilibre des classes (imbalanced dataset) en machine learning ?
50,vision,DeOldify : coloriser vos anciennes photos avec Python
51,vision,DALL-E : génération d’images à partir de textes
52,vision,Comment le fisc français utilise l’intelligence artificielle pour détecter les piscines illégales
53,vision,L’intelligence artificielle pour la fécondation in-vitro
54,vision,Qu’est-ce que la segmentation d’images ?
55,vision,Introduction à l’estimation de poses humaines
56,vision,Focus sur 6 techniques de computer vision
57,vision,Quelles sont les applications de la computer vision ?
58,vision,Deep learning pour le football : Computer vision (Partie I)
59,vision,Simulation d’environnements réalistes : réseaux de neurones pour la simulation de « splash »
